from_country,to_country,weighted_points
at,nl,0.0031729243786356425
at,fr,0.0
at,dk,0.0
at,lu,0.010416666666666666
at,de,0.0
at,it,0.0
at,gb,0.002564102564102564
at,be,0.0
at,ch,0.0
at,at,0.0
be,nl,0.0026441036488630354
be,fr,0.001838235294117647
be,dk,0.0
be,lu,0.0
be,de,0.0019230769230769232
be,it,0.00303951367781155
be,gb,0.002564102564102564
be,be,0.0
be,ch,0.0
be,at,0.0
dk,nl,0.0015864621893178213
dk,fr,0.001838235294117647
dk,dk,0.0
dk,lu,0.0
dk,de,0.0
dk,it,0.00303951367781155
dk,gb,0.0
dk,be,0.006349206349206349
dk,ch,0.0064516129032258064
dk,at,0.0
fr,nl,0.0021152829190904283
fr,fr,0.0
fr,dk,0.0
fr,lu,0.0
fr,de,0.011538461538461539
fr,it,0.0
fr,gb,0.0
fr,be,0.0
fr,ch,0.0
fr,at,0.0
de,nl,0.0005288207297726071
de,fr,0.0055147058823529415
de,dk,0.0
de,lu,0.0
de,de,0.0
de,it,0.0
de,gb,0.0
de,be,0.006349206349206349
de,ch,0.0032258064516129032
de,at,0.0
it,nl,0.0005288207297726071
it,fr,0.0
it,dk,0.006
it,lu,0.013888888888888888
it,de,0.0019230769230769232
it,it,0.0
it,gb,0.0
it,be,0.0
it,ch,0.0032258064516129032
it,at,0.0
lu,nl,0.0015864621893178213
lu,fr,0.003676470588235294
lu,dk,0.0
lu,lu,0.0
lu,de,0.0
lu,it,0.00303951367781155
lu,gb,0.002564102564102564
lu,be,0.0
lu,ch,0.0032258064516129032
lu,at,0.0
nl,nl,0.0
nl,fr,0.0009191176470588235
nl,dk,0.01
nl,lu,0.0
nl,de,0.0
nl,it,0.0060790273556231
nl,gb,0.002564102564102564
nl,be,0.0
nl,ch,0.0
nl,at,0.006060606060606061
ch,nl,0.0037017451084082496
ch,fr,0.0
ch,dk,0.0
ch,lu,0.0
ch,de,0.0
ch,it,0.0
ch,gb,0.005128205128205128
ch,be,0.0031746031746031746
ch,ch,0.0
ch,at,0.0
gb,nl,0.0005288207297726071
gb,fr,0.001838235294117647
gb,dk,0.004
gb,lu,0.003472222222222222
gb,de,0.0
gb,it,0.0060790273556231
gb,gb,0.0
gb,be,0.0
gb,ch,0.0
gb,at,0.012121212121212121
at,fr,0.004050925925925926
at,ch,0.0
at,it,0.0016366612111292963
at,se,0.0016129032258064516
at,be,0.0
at,at,0.0
at,de,0.003076923076923077
at,dk,0.0
at,nl,0.0
at,lu,0.0
be,fr,0.0005787037037037037
be,ch,0.0013440860215053765
be,it,0.006546644844517185
be,se,0.0016129032258064516
be,be,0.0
be,at,0.0022727272727272726
be,de,0.003076923076923077
be,dk,0.0
be,nl,0.0
be,lu,0.0
dk,fr,0.005208333333333333
dk,ch,0.0
dk,it,0.0
dk,se,0.0
dk,be,0.001984126984126984
dk,at,0.0
dk,de,0.0
dk,dk,0.0
dk,nl,0.0
dk,lu,0.0
fr,fr,0.0
fr,ch,0.0020161290322580645
fr,it,0.0016366612111292963
fr,se,0.0
fr,be,0.0
fr,at,0.006818181818181818
fr,de,0.006153846153846154
fr,dk,0.006666666666666667
fr,nl,0.0
fr,lu,0.0
de,fr,0.0005787037037037037
de,ch,0.0
de,it,0.006546644844517185
de,se,0.0
de,be,0.00992063492063492
de,at,0.0
de,de,0.0
de,dk,0.0
de,nl,0.0
de,lu,0.0
it,fr,0.003472222222222222
it,ch,0.002688172043010753
it,it,0.0
it,se,0.0
it,be,0.0
it,at,0.0
it,de,0.0
it,dk,0.0
it,nl,0.0
it,lu,0.0
lu,fr,0.0005787037037037037
lu,ch,0.003360215053763441
lu,it,0.0
lu,se,0.004838709677419355
lu,be,0.0
lu,at,0.0022727272727272726
lu,de,0.0
lu,dk,0.0
lu,nl,0.0
lu,lu,0.0
nl,fr,0.0
nl,ch,0.004032258064516129
nl,it,0.0016366612111292963
nl,se,0.0032258064516129032
nl,be,0.0
nl,at,0.0
nl,de,0.0
nl,dk,0.006666666666666667
nl,nl,0.0
nl,lu,0.0
se,fr,0.0005787037037037037
se,ch,0.002688172043010753
se,it,0.0016366612111292963
se,se,0.0
se,be,0.001984126984126984
se,at,0.0022727272727272726
se,de,0.003076923076923077
se,dk,0.006666666666666667
se,nl,0.0
se,lu,0.0
ch,fr,0.0005787037037037037
ch,ch,0.0
ch,it,0.0016366612111292963
ch,se,0.004838709677419355
ch,be,0.001984126984126984
ch,at,0.004545454545454545
ch,de,0.0
ch,dk,0.0
ch,nl,0.01639344262295082
ch,lu,0.027777777777777776
at,nl,0.00234192037470726
at,gb,0.0019230769230769232
at,fr,0.0010416666666666667
at,ch,0.001152073732718894
at,dk,0.0033333333333333335
at,it,0.0
at,be,0.0
at,de,0.0
at,se,0.0
at,at,0.0
at,mc,0.041666666666666664
be,nl,0.00234192037470726
be,gb,0.0019230769230769232
be,fr,0.0020833333333333333
be,ch,0.001152073732718894
be,dk,0.0
be,it,0.002364066193853428
be,be,0.0
be,de,0.003076923076923077
be,se,0.0
be,at,0.0
be,mc,0.0
dk,nl,0.0
dk,gb,0.0009615384615384616
dk,fr,0.004166666666666667
dk,ch,0.002304147465437788
dk,dk,0.0
dk,it,0.0
dk,be,0.003527336860670194
dk,de,0.0
dk,se,0.004032258064516129
dk,at,0.0
dk,mc,0.0
fr,nl,0.00312256049960968
fr,gb,0.0009615384615384616
fr,fr,0.0
fr,ch,0.0
fr,dk,0.0
fr,it,0.0070921985815602835
fr,be,0.0
fr,de,0.006153846153846154
fr,se,0.0
fr,at,0.0
fr,mc,0.0
de,nl,0.00156128024980484
de,gb,0.0
de,fr,0.004166666666666667
de,ch,0.001152073732718894
de,dk,0.0
de,it,0.0
de,be,0.005291005291005291
de,de,0.0
de,se,0.0
de,at,0.0
de,mc,0.0
it,nl,0.00546448087431694
it,gb,0.0
it,fr,0.0010416666666666667
it,ch,0.0
it,dk,0.0016666666666666668
it,it,0.0
it,be,0.0
it,de,0.003076923076923077
it,se,0.0
it,at,0.0
it,mc,0.0
mc,nl,0.00078064012490242
mc,gb,0.0019230769230769232
mc,fr,0.0020833333333333333
mc,ch,0.001152073732718894
mc,dk,0.0016666666666666668
mc,it,0.002364066193853428
mc,be,0.001763668430335097
mc,de,0.0
mc,se,0.0
mc,at,0.004545454545454545
mc,mc,0.0
nl,nl,0.0
nl,gb,0.004807692307692308
nl,fr,0.0
nl,ch,0.0
nl,dk,0.0016666666666666668
nl,it,0.0
nl,be,0.001763668430335097
nl,de,0.0
nl,se,0.012096774193548387
nl,at,0.0
nl,mc,0.0
se,nl,0.0
se,gb,0.0
se,fr,0.0
se,ch,0.0034562211981566822
se,dk,0.006666666666666667
se,it,0.002364066193853428
se,be,0.0
se,de,0.0
se,se,0.0
se,at,0.00909090909090909
se,mc,0.0
ch,nl,0.0
ch,gb,0.0028846153846153848
ch,fr,0.0010416666666666667
ch,ch,0.0
ch,dk,0.0016666666666666668
ch,it,0.0070921985815602835
ch,be,0.0
ch,de,0.003076923076923077
ch,se,0.0
ch,at,0.004545454545454545
ch,mc,0.0
gb,nl,0.00078064012490242
gb,gb,0.0
gb,fr,0.0
gb,ch,0.00576036866359447
gb,dk,0.0033333333333333335
gb,it,0.0
gb,be,0.003527336860670194
gb,de,0.0
gb,se,0.0
gb,at,0.0
gb,mc,0.0
at,fr,0.00048828125
at,gb,0.0018461538461538461
at,mc,0.0
at,no,0.0014903129657228018
at,de,0.002797202797202797
at,be,0.001763668430335097
at,at,0.0
at,ch,0.0064516129032258064
at,it,0.0
at,se,0.0
at,dk,0.0
at,nl,0.0
at,lu,0.0
be,fr,0.00146484375
be,gb,0.0006153846153846154
be,mc,0.0
be,no,0.0014903129657228018
be,de,0.002797202797202797
be,be,0.0
be,at,0.0030303030303030303
be,ch,0.0
be,it,0.00425531914893617
be,se,0.0
be,dk,0.0
be,nl,0.00819672131147541
be,lu,0.0
dk,fr,0.001953125
dk,gb,0.0
dk,mc,0.005555555555555556
dk,no,0.0029806259314456036
dk,de,0.0
dk,be,0.0
dk,at,0.006060606060606061
dk,ch,0.0
dk,it,0.0
dk,se,0.0
dk,dk,0.0
dk,nl,0.0
dk,lu,0.0
fr,fr,0.0
fr,gb,0.0
fr,mc,0.008333333333333333
fr,no,0.0014903129657228018
fr,de,0.005594405594405594
fr,be,0.0
fr,at,0.0
fr,ch,0.0
fr,it,0.0
fr,se,0.008064516129032258
fr,dk,0.0
fr,nl,0.0
fr,lu,0.0
de,fr,0.00048828125
de,gb,0.0006153846153846154
de,mc,0.019444444444444445
de,no,0.0
de,de,0.0
de,be,0.001763668430335097
de,at,0.0
de,ch,0.0
de,it,0.0
de,se,0.0
de,dk,0.0
de,nl,0.0
de,lu,0.0
it,fr,0.0
it,gb,0.0012307692307692308
it,mc,0.0
it,no,0.0
it,de,0.0
it,be,0.005291005291005291
it,at,0.0030303030303030303
it,ch,0.0032258064516129032
it,it,0.0
it,se,0.004032258064516129
it,dk,0.0
it,nl,0.00819672131147541
it,lu,0.027777777777777776
lu,fr,0.00048828125
lu,gb,0.003076923076923077
lu,mc,0.002777777777777778
lu,no,0.0
lu,de,0.0
lu,be,0.0
lu,at,0.0
lu,ch,0.0032258064516129032
lu,it,0.00425531914893617
lu,se,0.0
lu,dk,0.005
lu,nl,0.0
lu,lu,0.0
mc,fr,0.00244140625
mc,gb,0.0006153846153846154
mc,mc,0.0
mc,no,0.0
mc,de,0.002797202797202797
mc,be,0.0
mc,at,0.0
mc,ch,0.0
mc,it,0.00851063829787234
mc,se,0.0
mc,dk,0.0
mc,nl,0.0
mc,lu,0.0
nl,fr,0.0009765625
nl,gb,0.003076923076923077
nl,mc,0.0
nl,no,0.0014903129657228018
nl,de,0.0
nl,be,0.0
nl,at,0.0
nl,ch,0.0
nl,it,0.00425531914893617
nl,se,0.004032258064516129
nl,dk,0.0
nl,nl,0.0
nl,lu,0.0
no,fr,0.00244140625
no,gb,0.0012307692307692308
no,mc,0.0
no,no,0.0
no,de,0.0
no,be,0.0
no,at,0.0
no,ch,0.0032258064516129032
no,it,0.0
no,se,0.0
no,dk,0.01
no,nl,0.0
no,lu,0.0
se,fr,0.001953125
se,gb,0.0006153846153846154
se,mc,0.0
se,no,0.0
se,de,0.0013986013986013986
se,be,0.007054673721340388
se,at,0.0
se,ch,0.0
se,it,0.0
se,se,0.0
se,dk,0.0
se,nl,0.0
se,lu,0.0
ch,fr,0.00048828125
ch,gb,0.0024615384615384616
ch,mc,0.002777777777777778
ch,no,0.005961251862891207
ch,de,0.0
ch,be,0.0
ch,at,0.0
ch,ch,0.0
ch,it,0.0
ch,se,0.0
ch,dk,0.0
ch,nl,0.0
ch,lu,0.0
gb,fr,0.00244140625
gb,gb,0.0
gb,mc,0.002777777777777778
gb,no,0.0014903129657228018
gb,de,0.0
gb,be,0.0
gb,at,0.006060606060606061
gb,ch,0.0
gb,it,0.0
gb,se,0.0
gb,dk,0.005
gb,nl,0.0
gb,lu,0.0
at,lu,0.0035842293906810036
at,gb,0.0
at,ch,0.0020161290322580645
at,fr,0.0
at,dk,0.0
at,it,0.0
at,no,0.0
at,es,0.0
at,mc,0.0
at,fi,0.0
at,nl,0.0
at,de,0.005128205128205128
at,se,0.0
at,at,0.0
at,be,0.0
be,lu,0.0
be,gb,0.000641025641025641
be,ch,0.0
be,fr,0.0
be,dk,0.0
be,it,0.0070921985815602835
be,no,0.00819672131147541
be,es,0.0
be,mc,0.0
be,fi,0.0
be,nl,0.0
be,de,0.0
be,se,0.0
be,at,0.0
be,be,0.0
dk,lu,0.0008960573476702509
dk,gb,0.000641025641025641
dk,ch,0.0
dk,fr,0.0
dk,dk,0.0
dk,it,0.0070921985815602835
dk,no,0.001639344262295082
dk,es,0.0
dk,mc,0.0
dk,fi,0.002976190476190476
dk,nl,0.0
dk,de,0.005128205128205128
dk,se,0.0
dk,at,0.0
dk,be,0.0
fi,lu,0.002688172043010753
fi,gb,0.0
fi,ch,0.0
fi,fr,0.001201923076923077
fi,dk,0.0016666666666666668
fi,it,0.0
fi,no,0.003278688524590164
fi,es,0.0
fi,mc,0.020833333333333332
fi,fi,0.0
fi,nl,0.0
fi,de,0.0
fi,se,0.0
fi,at,0.0
fi,be,0.0
fr,lu,0.0008960573476702509
fr,gb,0.0
fr,ch,0.0
fr,fr,0.0
fr,dk,0.0
fr,it,0.0017730496453900709
fr,no,0.0
fr,es,0.004032258064516129
fr,mc,0.0
fr,fi,0.002976190476190476
fr,nl,0.00273224043715847
fr,de,0.0
fr,se,0.016129032258064516
fr,at,0.0
fr,be,0.0
de,lu,0.004480286738351254
de,gb,0.0
de,ch,0.0
de,fr,0.004807692307692308
de,dk,0.0
de,it,0.0
de,no,0.0
de,es,0.0
de,mc,0.0
de,fi,0.0
